time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-10T14:28:43.200Z,33.2341667,-116.7765,11.77,2.71,ml,102,13,0.01498,0.2,ci,ci39662258,2023-11-18T22:29:32.040Z,"2 km SW of Lake Henshaw, CA",earthquake,0.13,0.47,0.172,117,reviewed,ci,ci
2023-09-08T05:59:23.360Z,33.233,-116.7775,11.95,2.82,ml,140,12,0.01599,0.21,ci,ci39661050,2023-12-01T07:59:40.883Z,"2 km SW of Lake Henshaw, CA",earthquake,0.1,0.33,0.149,175,reviewed,ci,ci
2023-08-18T11:47:54.570Z,33.685,-116.9668333,15.65,2.56,ml,117,13,0.03592,0.2,ci,ci39643762,2023-10-27T21:39:03.040Z,"7 km S of Hemet, CA",earthquake,0.12,0.27,0.172,152,reviewed,ci,ci
2023-07-07T16:02:29.240Z,33.5871667,-116.6408333,14.05,2.55,ml,103,17,0.02217,0.18,ci,ci39606682,2023-09-09T21:54:55.040Z,"5km NE of Anza, CA",earthquake,0.11,0.18,0.187,67,reviewed,ci,ci
2023-05-20T08:20:51.820Z,33.3818333,-116.904,13.44,2.61,ml,114,18,0.04461,0.2,ci,ci40229159,2023-07-24T01:15:34.040Z,"5km NW of Palomar Observatory, CA",earthquake,0.12,0.32,0.193,63,reviewed,ci,ci
2023-05-20T08:18:16.240Z,33.3821667,-116.9066667,12.64,3.38,ml,168,16,0.04656,0.23,ci,ci40229151,2023-07-24T01:15:34.040Z,"5km NW of Palomar Observatory, CA",earthquake,0.1,0.32,0.147,254,reviewed,ci,ci
2023-05-03T21:14:20.210Z,33.7063333,-116.7725,16.59,2.88,ml,117,11,0.04886,0.17,ci,ci40218471,2023-07-15T22:09:32.040Z,"6km SW of Idyllwild, CA",earthquake,0.11,0.22,0.18,26,reviewed,ci,ci
2023-04-25T11:55:47.190Z,33.3678333,-116.417,12.47,2.68,ml,111,13,0.0585,0.2,ci,ci40445232,2023-07-11T01:45:00.040Z,"13km NNW of Borrego Springs, CA",earthquake,0.11,0.4,0.155,114,reviewed,ci,ci
2023-04-17T18:52:36.930Z,33.5265,-116.6891667,8.85,2.58,ml,104,16,0.05587,0.17,ci,ci40442016,2023-07-03T02:47:26.040Z,"4km SSW of Anza, CA",earthquake,0.11,0.26,0.202,25,reviewed,ci,ci
2023-04-13T00:52:21.540Z,33.3735,-116.884,13.37,2.64,ml,104,19,0.1104,0.18,ci,ci40440312,2023-06-17T21:36:49.040Z,"3km NW of Palomar Observatory, CA",earthquake,0.11,0.34,0.221,26,reviewed,ci,ci
